key,en,fr,selector,type,attr
comm.tabs.home,"Community Home ","Accueil de la communauté ",#CommunityTabsContainer li:first-child > a,attr,data-i18n-text
comm.tabs.discussions,"Discussion ","Discussions ",a[data-tab="discussions"],attr,data-i18n-text
comm.tabs.library,"Library ","Bibliothèque ",a[data-tab="resources"],attr,data-i18n-text
comm.tabs.events,"Events ","Événements ",a[data-tab="events"],attr,data-i18n-text
comm.tabs.members,"Members ","Membres ",a[data-tab="members"],attr,data-i18n-text

library.latest.title,Latest Library Entries,Dernières entrées de la bibliothèque,h2#MainCopy_ctl14_TitleText,text,
comm.announcements.title,Announcements,Annonces,h2#MainCopy_ctl12_TitleText,text,
events.upcoming.title,Upcoming Events,Événements à venir,h2#MainCopy_ctl07_TitleText,text,
comm.latestDiscussions,"Latest Discussions ","Dernières discussions. ",#MainCopy_ctl09_TitleText,attr,data-i18n-text

# comm.latestDiscussions,"Latest Discussions ","Dernières discussions ",#MainCopy_ctl09_TitleText,attr,data-i18n-text
# comm.postMessage,Post a Message,Publier un message,#MainCopy_ctl09_PostMessage,attr,value
# comm.postMessage.title,Post a Message,Publier un message,#MainCopy_ctl09_PostMessage,attr,title
# comm.announcements,Announcements ,Annonces ,#MainCopy_ctl12_TitleText,attr,data-i18n-text
# comm.add,Add,Ajouter,#MainCopy_ctl12_Add,attr,data-i18n-text
# comm.add.title,Add Announcement,Ajouter une annonce,#MainCopy_ctl12_Add,attr,title

# comm.moreDiscussions,View more discussions,Voir plus de discussions,#MainCopy_ctl09_MoreLink,attr,data-i18n-text
# comm.moreDiscussions.title,View more discussions,Voir plus de discussions,#MainCopy_ctl09_MoreLink,attr,title

# comm.moreLibrary,View more library entries,Voir plus d’éléments de la bibliothèque,#MainCopy_ctl14_MoreLink,attr,data-i18n-text
# comm.moreLibrary.title,View more library entries,Voir plus d’éléments de la bibliothèque,#MainCopy_ctl14_MoreLink,attr,title

# comm.moreAnnouncements,View more announcements,Voir plus d’annonces,#MainCopy_ctl12_MoreLink,attr,data-i18n-text
# comm.moreAnnouncements.title,View more announcements,Voir plus d’annonces,#MainCopy_ctl12_MoreLink,attr,title

# comm.reindex.title,reindex,réindexer,#ctl00_MainCopy_ctl12_AnnouncementList_ctl01_Reindex,attr,title
# comm.edit.title,edit,modifier,#ctl00_MainCopy_ctl12_AnnouncementList_ctl01_Edit,attr,title

# comm.deleteConfirm,Are you sure you want to remove this item?,Voulez-vous vraiment supprimer cet élément ?,#dialog-confirm-deleteannouncement [id$='deleteannouncement-message'],attr,data-i18n-text

# comm.ann.add.heading,Add New Announcement,Ajouter une nouvelle annonce,#MainCopy_ctl12_AddHeadingTitle,attr,data-i18n-text
# comm.ann.add.label.text,Text,Texte,#MainCopy_ctl12_AnnouncementTextLabel,attr,data-i18n-text
# comm.ann.add.label.title,Title,Titre,#MainCopy_ctl12_AnnouncementTitleLabel,attr,data-i18n-text
# comm.ann.add.label.url,URL,URL,#MainCopy_ctl12_URLText,attr,data-i18n-text
# comm.ann.add.label.urlText,URL Text,Texte du lien,#MainCopy_ctl12_URLName,attr,data-i18n-text
# comm.ann.add.label.newWindow,Open in a New Window,Ouvrir dans une nouvelle fenêtre,label[for="MainCopy_ctl12_CheckURL"],attr,data-i18n-text
# comm.ann.add.save,Save,Enregistrer,#MainCopy_ctl12_Save,attr,value
# comm.ann.add.cancel,Cancel,Annuler,#MainCopy_ctl12_Cancel,attr,value

# comm.status.header,Status,Statut,"#MainCopy_ctl02_CommunityManagementGear1_StatusUL .dropdown-header",text,

# comm.member.current,You are currently a member.,Vous êtes actuellement membre.,"#MainCopy_ctl02_CommunityManagementGear1_YouAreCurrenltyAMemberText",text,

# comm.invite.button,Add or Invite Others,Ajouter ou inviter d’autres personnes,"#MainCopy_ctl02_CommunityManagementGear1_btnInviteOthersToJoin",text,
# comm.invite.button.value,Invite Others to Join,Inviter d’autres personnes à se joindre,"#MainCopy_ctl02_CommunityManagementGear1_btnInviteOthersToJoin",attr,value

# comm.email.header,Email Notifications,Notifications par courriel,"#MainCopy_ctl02_CommunityManagementGear1_EmailNotificationsHeader",text,
# comm.email.change,Change,Modifier,"#MainCopy_ctl02_CommunityManagementGear1_ChangeLink",text,

# comm.email.saving,Saving...,Enregistrement...,"#MainCopy_ctl02_CommunityManagementGear1_EmailNotificationOptBtnLoading",text,
# comm.email.selected,No Email,Aucun courriel,"#MainCopy_ctl02_CommunityManagementGear1_SelectedNotificationOption",text,

# comm.email.option.realtime,Real Time,Temps réel,"#EmailNotificationOptDD .EmailNotificationOption a[data-subscription=""Rt""]",text,
# comm.email.option.daily,Daily Digest,Résumé quotidien,"#EmailNotificationOptDD .EmailNotificationOption a[data-subscription=""Dd""]",text,
# comm.email.option.none,No Email,Aucun courriel,"#EmailNotificationOptDD .EmailNotificationOption a[data-subscription=""Ne""]",text,
