key,en,fr,selector,type,attr
profile.tabs.my-profile,My Profile,Mon profil,#MainCopy_ctl27_ProfileLink,text,
profile.tabs.my-connections,My Connections,Mes connexions,#MainCopy_ctl27_ConnectionsLink,text,
profile.tabs.my-connections@aria-label,My Connections,Mes connexions,#MainCopy_ctl27_ConnectionsLink,attr,aria-label
profile.tabs.contacts,Contacts,Contacts,#MainCopy_ctl27_ContactsLink,text,
profile.tabs.networks,Networks,Réseaux,#MainCopy_ctl27_NetworksLink,text,
profile.tabs.communities,Communities,Communautés,#MainCopy_ctl27_CommunitiesLink,text,
profile.tabs.following,Following,Abonnements,#MainCopy_ctl27_FollowingLink,text,
profile.tabs.my-contributions,My Contributions,Mes contributions,#MainCopy_ctl27_ContributionsLink,text,
profile.tabs.my-contributions@aria-label,My Contributions,Mes contributions,#MainCopy_ctl27_ContributionsLink,attr,aria-label
profile.tabs.my-summary,My Summary,Mon résumé,#MainCopy_ctl27_SummaryLink,text,
profile.tabs.my-achievements,My Achievements,Mes réalisations,#MainCopy_ctl27_AchievementsLink,text,
profile.tabs.my-list-of-contributions,My List of Contributions,Ma liste de contributions,#MainCopy_ctl27_ListOfContributionsLink,text,
profile.tabs.my-account,My Account,Mon compte,#MainCopy_ctl27_AccountLink,text,
profile.tabs.my-account@aria-label,My Account,Mon compte,#MainCopy_ctl27_AccountLink,attr,aria-label
profile.tabs.change-password,Change Password,Changer le mot de passe,#MainCopy_ctl27_ChangePasswordLink,text,
profile.tabs.privacy-settings,Privacy Settings,Paramètres de confidentialité,#MainCopy_ctl27_PrivacySettingsLink,text,
profile.tabs.email-preferences,Email Preferences,Préférences de courriel,#MainCopy_ctl27_EmailPreferencesLink,text,
profile.tabs.rss-feeds,RSS Feeds,Flux RSS,#MainCopy_ctl27_RSSFeedsLink,text,
profile.tabs.community-notifications,Community Notifications,Notifications de la communauté,#MainCopy_ctl27_SubscriptionsLink,text,
profile.tabs.discussion-signature,Discussion Signature,Signature des discussions,#MainCopy_ctl27_DiscussionSignatureLink,text,
profile.tabs.disable-my-account,Disable My Account,Désactiver mon compte,#MainCopy_ctl27_DisableAccountLink,text,
profile.tabs.my-inbox,My Inbox,Ma boîte de réception,#MainCopy_ctl27_InboxLink,text,
profile.tabs.my-inbox@aria-label,My Inbox,Ma boîte de réception,#MainCopy_ctl27_InboxLink,attr,aria-label
profile.tabs.admin,Admin,Admin,#MainCopy_ctl27_AdminLink,text,
modal.disable.header,Disable My Account,Désactiver mon compte,#disableMyAccountModalTitle,text,
modal.disable.warning,You are disabling your account on Prosper Canada Community. You will be logged out of the system and will no longer be able to log back in. Please contact gelward@prospercanada.org if you have any questions.,Vous désactivez votre compte sur la communauté de Prospérité Canada. Vous serez déconnecté et ne pourrez plus vous reconnecter. Veuillez contacter gelward@prospercanada.org si vous avez des questions.,#MainCopy_ctl27_pnlDisableMyAccount .modal-body .bg-warning,text,
modal.disable.reason,Reason for disabling account,Raison de la désactivation du compte,label[for='textareaDisableMyAccountReason'],text,
modal.disable.btn-primary,Disable My Account,Désactiver mon compte,.btn-disable-my-account,text,
modal.disable.btn-cancel,Cancel,Annuler,#MainCopy_ctl27_pnlDisableMyAccount .modal-footer .btn.btn-default,text,
section.bio,Bio,Biographie,#MainCopy_ctl29_TitleText,text,
section.education,Education,Éducation,#MainCopy_ctl32_TitleText,text,
section.education.add,Add,Ajouter,#MainCopy_ctl32_AddItem,text,
section.honors-awards,Honors and Awards,Distinctions et prix,#MainCopy_ctl35_TitleText,text,
section.honors-awards.add,Add,Ajouter,#MainCopy_ctl35_AddItem,text,
