key,en,fr,selector,type,attr
# --- Field labels ---
members.find.firstName,First Name,Prénom,#MainCopy_ctl10_FirstNameLabel,attr,data-i18n-text
members.find.lastName,Last Name,Nom,#MainCopy_ctl10_LastNameLabel,attr,data-i18n-text
members.find.company,Company Name,Organisation,#MainCopy_ctl10_CompanyNameLabel,attr,data-i18n-text
members.find.email,Email Address,Adresse courriel,#MainCopy_ctl10_Label5,attr,data-i18n-text

# --- Input titles (tooltips) ---
members.find.firstName.title,First Name,Prénom,#MainCopy_ctl10_FindFirstName,attr,title
members.find.lastName.title,Last Name,Nom,#MainCopy_ctl10_FindLastName,attr,title
members.find.company.title,Company Name,Organisation,#MainCopy_ctl10_FindCompanyName,attr,title
members.find.email.title,Email Address,Adresse courriel,#MainCopy_ctl10_EmailAddress,attr,title

# --- Email validator/help text ---
# members.find.email.validator,Please enter additional criteria for the email address. These values are not allowed: @,%,.,com,org,.com,.org,Veuillez saisir des critères supplémentaires pour l’adresse courriel. Les valeurs suivantes ne sont pas autorisées : @, %, ., com, org, .com, .org,#MainCopy_ctl10_EmailAddressCharacterValidator,attr,data-i18n-text

# --- Action buttons ---
members.actions.find,Find Members,Rechercher des membres,#MainCopy_ctl12_FindContacts,attr,value
members.actions.clear,Clear All,Effacer tout,#MainCopy_ctl12_ClearSearchResults,attr,value
members.actions.clear.title,Clear All,Effacer tout,#MainCopy_ctl12_ClearSearchResults,attr,title

# --- Sort select (label is implicit via title) ---
members.sort.title,Display Options,Options d’affichage,#MainCopy_ctl12_SortOptions,attr,title
members.sort.nameAZ,Name A-Z,Nom A–Z,#MainCopy_ctl12_SortOptions option[value="Name_AZ"],attr,data-i18n-text
members.sort.nameZA,Name Z-A,Nom Z–A,#MainCopy_ctl12_SortOptions option[value="Name_ZA"],attr,data-i18n-text
members.sort.companyAZ,Company A-Z,Organisation A–Z,#MainCopy_ctl12_SortOptions option[value="Company_AZ"],attr,data-i18n-text
members.sort.companyZA,Company Z-A,Organisation Z–A,#MainCopy_ctl12_SortOptions option[value="Company_ZA"],attr,data-i18n-text
members.sort.cityAZ,City A-Z,Ville A–Z,#MainCopy_ctl12_SortOptions option[value="City_AZ"],attr,data-i18n-text
members.sort.cityZA,City Z-A,Ville Z–A,#MainCopy_ctl12_SortOptions option[value="City_ZA"],attr,data-i18n-text
members.sort.stateAZ,State A-Z,Province/État A–Z,#MainCopy_ctl12_SortOptions option[value="State_AZ"],attr,data-i18n-text
members.sort.stateZA,State Z-A,Province/État Z–A,#MainCopy_ctl12_SortOptions option[value="State_ZA"],attr,data-i18n-text
members.sort.countryAZ,Country A-Z,Pays A–Z,#MainCopy_ctl12_SortOptions option[value="Country_AZ"],attr,data-i18n-text
members.sort.countryZA,Country Z-A,Pays Z–A,#MainCopy_ctl12_SortOptions option[value="Country_ZA"],attr,data-i18n-text

# --- Results per page ---
members.perPage.title,Results Per Page,Résultats par page,#MainCopy_ctl12_ResultsPerPage,attr,title
members.perPage.showAll,Show All,Afficher tout,#MainCopy_ctl12_ResultsPerPage option[value="20"],attr,data-i18n-text


members.sendMessage.value,Send Message,Envoyer un message,"input[id^=""MainCopy_ctl12_Contacts_SendMessageButton""]",attr,value
members.addContact.value,Add as Contact,Ajouter comme contact,"input[id^=""MainCopy_ctl12_Contacts_FriendButton""]",attr,value




members.msg.subject.label,Subject,Objet,"#message-subject-label",text,
members.msg.body.label,Message,Message,"#message-body-label",text,

members.msg.send.text,Send,Envoyer,"#Send",text,

members.msg.cancel.text,Cancel,Annuler,"#Cancel",text,

members.msg.error.text,Cannot send message. Data required.,Impossible d’envoyer le message. Données requises.,"#error-msg",text,

/* Used by the helper below to localize the dynamic header prefix */
# directory.msg.header.prefix,Message to ,Message à ,"#modal-send-message .modal-header",text,



export.top.value,Export,Exporter,"#MainCopy_ctl12_ExportButtonTop",attr,value
export.top.title,Export,Exporter,"#MainCopy_ctl12_ExportButtonTop",attr,title
export.top.aria,Export these results,Exporter ces résultats,"#MainCopy_ctl12_ExportButtonTop",attr,aria-label

export.dialog.title,Export Options,Options d’exportation,"[aria-describedby=""ExportOptions""] .ui-dialog-title",text,
export.dialog.close.text,close,fermer,"[aria-describedby=""ExportOptions""] .ui-dialog-titlebar-close .ui-button-text",text,
export.dialog.close.aria,Close export options,Fermer les options d’exportation,"[aria-describedby=""ExportOptions""] .ui-dialog-titlebar-close",attr,aria-label

export.dialog.choose,Choose a file format,Choisir un format de fichier,"#ExportOptions > .row.form-group:first-child .col-md-12",text,

export.format.excel.label,Excel file,Fichier Excel,"label[for=""ExportExcelRadio""]",text,
export.format.excel.title,Excel Format,Format Excel,"#MainCopy_ctl12_ExportExcelRadio",attr,title

export.format.csv.label,CSV file,Fichier CSV,"label[for=""ExportCSVRadio""]",text,
export.format.csv.title,CSV Format,Format CSV,"#MainCopy_ctl12_ExportCSVRadio",attr,title

export.dialog.download.value,Download,Télécharger,"#MainCopy_ctl12_ExportDetails",attr,value
export.dialog.download.title,Download,Télécharger,"#MainCopy_ctl12_ExportDetails",attr,title
export.dialog.download.aria,Download exported file,Télécharger le fichier exporté,"#MainCopy_ctl12_ExportDetails",attr,aria-label

